version,filename,header,obj,endobj,stream,endstream,xref,trailer,startxref,/Page,/Encrypt,/ObjStm,/JS,/JavaScript,/AA,/OpenAction,/AcroForm,/JBIG2Decode,/RichMedia,/Launch,/EmbeddedFile,/XFA,/Colors > 2^24,/JavaScript_hexcode_count,/RichMedia_hexcode_count,/EmbeddedFile_hexcode_count,/ObjStm_hexcode_count,/Encrypt_hexcode_count,/OpenAction_hexcode_count,/Page_hexcode_count,/JS_hexcode_count,/AcroForm_hexcode_count,/XFA_hexcode_count,/Launch_hexcode_count,/JBIG2Decode_hexcode_count,/AA_hexcode_count,Malware
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_6d5995366c4e92bf13d43ca80bc83a6c_247886,%PDF-1.6,52,52,41,41,0,0,2,9,0,12,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_6eba6157189fa14fcd1257692e17581b_129323,%PDF-1.5,27,27,9,9,2,2,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_6f24af8a945c65bc7325f9c79749124e_170397,%PDF-1.7,182,182,21,21,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_6fbcd1d59226a8fb7704223efc138ed3_116094,%PDF-1.3,16,16,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_7b47cd7ad92f137c3bb0dc493936faa0_106129,%PDF-1.3,107,107,33,33,2,2,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_7cc4df8a562ae751e47118c04b1ffaf7_234825,%PDF-1.4,36,36,17,17,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_7d14d7138023ee6e5337ce18bdf40d3b_320836,%PDF-1.4,178,178,65,65,1,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_7e4dae649e231e4f3d9dfb58d6174750_134858,%PDF-1.4,60,60,15,15,2,2,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_7e745a868c825b95a7116204afa5e351_94196,%PDF-1.4,24,24,9,9,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_7f159e3ce6eb4aa150309df61f1ca746_28255,%PDF-1.7,14,14,5,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_08a4db19ac320ab1da5866748abf43ae_91448,%PDF-1.4,28,28,11,11,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_8aa493d4cd6b43449e976b5f890864c7_80914,%PDF-1.4,124,124,99,99,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_8b2b022320bf8962a5e0fb5a1013fb53_498872,%PDF-1.5,104,104,31,31,1,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_8b542d275347115728ba9646f2bce467_853567,%PDF-1.4 S,12,12,4,4,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_8c6ec62433278800f59e1709917431d9_46868,%PDF-1.4,19,19,8,8,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_8ccfe822a8a4ad11cabf1ffd922f53ac_46868,%PDF-1.4,19,19,8,8,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
